F.Valor,Fecha,Concepto,Movimiento,Importe,Divisa,Disponible,Observaciones
08/04/2026,08/04/2026,Bizum,Recibido sin concepto,15 EUR,EUR,4601.97 EUR,RECIBIDO: Sin concepto
08/04/2026,08/04/2026,Compra,Compra I dl e-commerce montcada i rees,-20.98 EUR,EUR,4586.97 EUR,RECIBIDO: I dl e-commerce - MONTCADA I REES
08/04/2026,08/04/2026,Bizum,Recibido relog,225 EUR,EUR,4807.95 EUR,RECIBIDO: relog
08/04/2026,08/04/2026,Adeudo a su cargo,N 202069880054079 índexa mas rentabilidad acciones f.p.,-40 EUR,EUR,4382.95 EUR,N 202069880054079 INDEXA MAS RENTABILIDAD ACCIONES F.P.
08/04/2026,08/04/2026,Adeudo a su cargo,N 2028697700087729 paypal europe s.à r.l. et cie s.c.a.,-32 EUR,EUR,4422.95 EUR,N 2028697700087729 PayPal Europe S.à r.l. et Cie S.C.A
08/04/2026,08/04/2026,Adeudo a su cargo,N 202069880054934 índexa mas rentabilidad bonos f.p.,-10 EUR,EUR,4444.95 EUR,N 202069880054934 INDEXA MAS RENTABILIDAD BONOS F.P.
07/04/2026,07/04/2026,Bizum,Recibido sin concepto,220 EUR,EUR,4454.95 EUR,RECIBIDO: Sin concepto
07/04/2026,07/04/2026,Bizum,Recibido sin concepto,40 EUR,EUR,4234.95 EUR,RECIBIDO: Sin concepto
